16-April-23 13:04:56 - INFO:  set_to:0.000548074021935463
16-April-23 13:04:56 - INFO:  set_to:0.0005158726125955582
16-April-23 13:04:56 - INFO:  set_to:0.0005575297400355339
16-April-23 13:04:57 - INFO:  set_to:0.0005478626117110252
16-April-23 13:04:57 - INFO:  set_to:0.0005423733964562416
16-April-23 13:04:57 - INFO:  set_to:0.0004678554832935333
16-April-23 13:04:57 - INFO:  set_to:0.0005522007122635841
16-April-23 13:04:57 - INFO:  set_to:0.0005468539893627167
16-April-23 13:04:58 - INFO:  set_to:0.000580555759370327
16-April-23 13:04:58 - INFO:  set_to:0.0005398085340857506
16-April-23 13:04:58 - INFO:  set_to:0.0006436547264456749
16-April-23 13:04:58 - INFO:  set_to:0.0005603088065981865
16-April-23 13:04:58 - INFO:  set_to:0.0005507646128535271
16-April-23 13:04:58 - INFO:  set_to:0.0005850270390510559
16-April-23 13:04:58 - INFO:  set_to:0.0005194945260882378
16-April-23 13:04:59 - INFO:  set_to:0.0005161426961421967
16-April-23 13:04:59 - INFO:  set_to:0.0005253944545984268
16-April-23 13:04:59 - INFO:  set_to:0.0005035959184169769
16-April-23 13:04:59 - INFO:  set_to:0.000515294261276722
16-April-23 13:04:59 - INFO:  set_to:0.0005830377340316772
16-April-23 13:04:59 - INFO:  set_to:0.0006058569997549057
16-April-23 13:04:59 - INFO:  set_to:0.0006299978122115135
16-April-23 13:04:59 - INFO:  set_to:0.0006142864003777504
16-April-23 13:04:59 - INFO:  set_to:0.0005120784044265747
16-April-23 13:04:59 - INFO:  set_to:0.0005512936040759087
16-April-23 13:04:59 - INFO:  set_to:0.0005669808015227318
16-April-23 13:04:59 - INFO:  set_to:0.0005915584042668343
16-April-23 13:04:59 - INFO:  set_to:0.0005411263555288315
16-April-23 13:04:59 - INFO:  set_to:0.0005323747172951698
16-April-23 13:05:00 - INFO:  set_to:0.0006449539214372635
16-April-23 13:05:00 - INFO:  set_to:0.0005108742043375969
16-April-23 13:05:00 - INFO:  set_to:0.0005327286198735237
16-April-23 13:05:00 - INFO:  set_to:0.0005382420495152473
16-April-23 13:05:01 - INFO:  set_to:0.0005337800830602646
16-April-23 13:05:01 - INFO:  set_to:0.0005736034363508224
16-April-23 13:05:01 - INFO:  set_to:0.0004673376679420471
16-April-23 13:05:02 - INFO:  set_to:0.0005048476159572601
