09-April-23 21:06:23 - INFO:  del_multiple:0.006046561524271965
09-April-23 21:06:24 - INFO:  del_multiple:0.005812142975628376
09-April-23 21:06:24 - INFO:  del_multiple:0.005975615233182907
09-April-23 21:06:24 - INFO:  del_multiple:0.0059406086802482605
09-April-23 21:06:24 - INFO:  del_multiple:0.005959846079349518
09-April-23 21:06:24 - INFO:  del_multiple:0.005897771567106247
09-April-23 21:06:25 - INFO:  del_multiple:0.00577688030898571
09-April-23 21:06:25 - INFO:  del_multiple:0.005967319943010807
09-April-23 21:06:25 - INFO:  del_multiple:0.006066108122467995
09-April-23 21:06:25 - INFO:  del_multiple:0.005898500792682171
09-April-23 21:06:25 - INFO:  del_multiple:0.00580049492418766
09-April-23 21:06:26 - INFO:  del_multiple:0.005959560163319111
09-April-23 21:06:26 - INFO:  del_multiple:0.006006622686982155
09-April-23 21:06:26 - INFO:  del_multiple:0.005924765020608902
09-April-23 21:06:27 - INFO:  del_multiple:0.0057090818881988525
09-April-23 21:06:27 - INFO:  del_multiple:0.0059354472905397415
09-April-23 21:06:27 - INFO:  del_multiple:0.005942727439105511
09-April-23 21:06:27 - INFO:  del_multiple:0.006037252023816109
09-April-23 21:06:27 - INFO:  del_multiple:0.005960414186120033
09-April-23 21:06:27 - INFO:  del_multiple:0.005896705202758312
09-April-23 21:06:27 - INFO:  del_multiple:0.005839274264872074
09-April-23 21:06:27 - INFO:  del_multiple:0.005960961803793907
09-April-23 21:06:27 - INFO:  del_multiple:0.005866083316504955
09-April-23 21:06:27 - INFO:  del_multiple:0.005914852023124695
09-April-23 21:06:27 - INFO:  del_multiple:0.006011863239109516
09-April-23 21:06:27 - INFO:  del_multiple:0.006033138372004032
09-April-23 21:06:28 - INFO:  del_multiple:0.005971325561404228
09-April-23 21:06:28 - INFO:  del_multiple:0.0060097286477684975
09-April-23 21:06:28 - INFO:  del_multiple:0.005895872600376606
09-April-23 21:06:28 - INFO:  del_multiple:0.005954480729997158
09-April-23 21:06:28 - INFO:  del_multiple:0.0060875751078128815
09-April-23 21:06:28 - INFO:  del_multiple:0.0059250472113490105
09-April-23 21:06:28 - INFO:  del_multiple:0.005440510809421539
09-April-23 21:06:28 - INFO:  del_multiple:0.005888780578970909
09-April-23 21:06:29 - INFO:  del_multiple:0.005684257484972477
09-April-23 21:06:29 - INFO:  del_multiple:0.005808577872812748
09-April-23 21:06:29 - INFO:  del_multiple:0.006011027842760086
