16-April-23 13:22:11 - INFO:  get_range:0.0036069536581635475
16-April-23 13:22:11 - INFO:  get_range:0.0038667619228363037
16-April-23 13:22:11 - INFO:  get_range:0.0038407640531659126
16-April-23 13:22:11 - INFO:  get_range:0.00347778107970953
16-April-23 13:22:11 - INFO:  get_range:0.0038487566635012627
16-April-23 13:22:11 - INFO:  get_range:0.0036073727533221245
16-April-23 13:22:11 - INFO:  get_range:0.003213263116776943
16-April-23 13:22:12 - INFO:  get_range:0.002916187047958374
16-April-23 13:22:12 - INFO:  get_range:0.003469470888376236
16-April-23 13:22:12 - INFO:  get_range:0.0039235614240169525
16-April-23 13:22:12 - INFO:  get_range:0.00381669495254755
16-April-23 13:22:12 - INFO:  get_range:0.003668411634862423
16-April-23 13:22:12 - INFO:  get_range:0.003280073404312134
16-April-23 13:22:12 - INFO:  get_range:0.0037751607596874237
16-April-23 13:22:13 - INFO:  get_range:0.0034001125022768974
16-April-23 13:22:13 - INFO:  get_range:0.003548872657120228
16-April-23 13:22:13 - INFO:  get_range:0.003446897491812706
16-April-23 13:22:13 - INFO:  get_range:0.0038355980068445206
16-April-23 13:22:13 - INFO:  get_range:0.003491422161459923
16-April-23 13:22:13 - INFO:  get_range:0.0036045946180820465
16-April-23 13:22:13 - INFO:  get_range:0.0038007916882634163
16-April-23 13:22:13 - INFO:  get_range:0.0038618063554167747
16-April-23 13:22:13 - INFO:  get_range:0.0031127631664276123
16-April-23 13:22:13 - INFO:  get_range:0.0033067362383008003
16-April-23 13:22:13 - INFO:  get_range:0.0033350475132465363
16-April-23 13:22:13 - INFO:  get_range:0.0028132041916251183
16-April-23 13:22:13 - INFO:  get_range:0.0026276875287294388
16-April-23 13:22:13 - INFO:  get_range:0.0030018137767910957
16-April-23 13:22:13 - INFO:  get_range:0.0032809386029839516
16-April-23 13:22:14 - INFO:  get_range:0.003070186823606491
16-April-23 13:22:14 - INFO:  get_range:0.002937518060207367
16-April-23 13:22:14 - INFO:  get_range:0.003223174251616001
16-April-23 13:22:14 - INFO:  get_range:0.00322035513818264
16-April-23 13:22:14 - INFO:  get_range:0.0038239844143390656
16-April-23 13:22:14 - INFO:  get_range:0.0038088886067271233
16-April-23 13:22:14 - INFO:  get_range:0.0038317982107400894
16-April-23 13:22:14 - INFO:  get_range:0.0036472827196121216
16-April-23 13:22:14 - INFO:  get_range:0.003309139981865883
16-April-23 13:22:14 - INFO:  get_range:0.0036010360345244408
16-April-23 13:22:15 - INFO:  get_range:0.0037285946309566498
16-April-23 13:22:15 - INFO:  get_range:0.003629308193922043
16-April-23 13:22:15 - INFO:  get_range:0.003890261985361576
16-April-23 13:22:15 - INFO:  get_range:0.003286111168563366
16-April-23 13:22:15 - INFO:  get_range:0.003834398463368416
16-April-23 13:22:15 - INFO:  get_range:0.003846322186291218
16-April-23 13:22:15 - INFO:  get_range:0.003821777179837227
16-April-23 13:22:15 - INFO:  get_range:0.003809618763625622
16-April-23 13:22:15 - INFO:  get_range:0.0038318121805787086
16-April-23 13:22:15 - INFO:  get_range:0.003549400717020035
16-April-23 13:22:15 - INFO:  get_range:0.0036159809678792953
16-April-23 13:22:15 - INFO:  get_range:0.0037894025444984436
16-April-23 13:22:15 - INFO:  get_range:0.003796597942709923
16-April-23 13:22:16 - INFO:  get_range:0.0035465769469738007
16-April-23 13:22:16 - INFO:  get_range:0.003668578341603279
16-April-23 13:22:16 - INFO:  get_range:0.003808995708823204
16-April-23 13:22:16 - INFO:  get_range:0.0038674846291542053
16-April-23 13:22:16 - INFO:  get_range:0.0038366159424185753
16-April-23 13:22:16 - INFO:  get_range:0.0038321102038025856
16-April-23 13:22:16 - INFO:  get_range:0.003666197881102562
16-April-23 13:22:17 - INFO:  get_range:0.0036487914621829987
16-April-23 13:22:17 - INFO:  get_range:0.0034569846466183662
16-April-23 13:22:17 - INFO:  get_range:0.0027727950364351273
16-April-23 13:22:17 - INFO:  get_range:0.0027073482051491737
16-April-23 13:22:17 - INFO:  get_range:0.0030955970287323
16-April-23 13:22:17 - INFO:  get_range:0.003879675641655922
16-April-23 13:22:17 - INFO:  get_range:0.003478861413896084
16-April-23 13:22:18 - INFO:  get_range:0.003167722374200821
16-April-23 13:22:18 - INFO:  get_range:0.0030892835929989815
16-April-23 13:22:18 - INFO:  get_range:0.00334223173558712
16-April-23 13:22:18 - INFO:  get_range:0.0036354325711727142
16-April-23 13:22:18 - INFO:  get_range:0.003767559304833412
16-April-23 13:22:18 - INFO:  get_range:0.00361501332372427
16-April-23 13:22:18 - INFO:  get_range:0.0035023195669054985
16-April-23 13:22:18 - INFO:  get_range:0.003350970335304737
16-April-23 13:22:18 - INFO:  get_range:0.0038508661091327667
16-April-23 13:22:18 - INFO:  get_range:0.003758098930120468
16-April-23 13:22:18 - INFO:  get_range:0.003635607659816742
16-April-23 13:22:19 - INFO:  get_range:0.0033446410670876503
16-April-23 13:22:19 - INFO:  get_range:0.002924068830907345
16-April-23 13:22:19 - INFO:  get_range:0.0029361965134739876
16-April-23 13:22:19 - INFO:  get_range:0.00293878186494112
16-April-23 13:22:19 - INFO:  get_range:0.002892480231821537
16-April-23 13:22:19 - INFO:  get_range:0.0034316163510084152
16-April-23 13:22:19 - INFO:  get_range:0.003880523145198822
16-April-23 13:22:19 - INFO:  get_range:0.002974720671772957
16-April-23 13:22:19 - INFO:  get_range:0.003780483268201351
16-April-23 13:22:19 - INFO:  get_range:0.0031676506623625755
16-April-23 13:22:19 - INFO:  get_range:0.0029951604083180428
16-April-23 13:22:19 - INFO:  get_range:0.003496045246720314
16-April-23 13:22:19 - INFO:  get_range:0.0038594892248511314
16-April-23 13:22:20 - INFO:  get_range:0.003335205838084221
16-April-23 13:22:20 - INFO:  get_range:0.0035467324778437614
16-April-23 13:22:20 - INFO:  get_range:0.003880409523844719
16-April-23 13:22:20 - INFO:  get_range:0.0039045605808496475
16-April-23 13:22:20 - INFO:  get_range:0.002988319844007492
16-April-23 13:22:20 - INFO:  get_range:0.0034494614228606224
16-April-23 13:22:20 - INFO:  get_range:0.003524613566696644
16-April-23 13:22:20 - INFO:  get_range:0.0038473261520266533
16-April-23 13:22:20 - INFO:  get_range:0.003605104982852936
16-April-23 13:22:20 - INFO:  get_range:0.003742065280675888
16-April-23 13:22:20 - INFO:  get_range:0.003704538568854332
16-April-23 13:22:21 - INFO:  get_range:0.0038615362718701363
16-April-23 13:22:21 - INFO:  get_range:0.0036358172073960304
16-April-23 13:22:21 - INFO:  get_range:0.0038819285109639168
16-April-23 13:22:21 - INFO:  get_range:0.0030792877078056335
16-April-23 13:22:21 - INFO:  get_range:0.0031112367287278175
16-April-23 13:22:21 - INFO:  get_range:0.003216520883142948
16-April-23 13:22:21 - INFO:  get_range:0.003841050900518894
16-April-23 13:22:21 - INFO:  get_range:0.00364602729678154
16-April-23 13:22:21 - INFO:  get_range:0.0036477278918027878
16-April-23 13:22:21 - INFO:  get_range:0.0036693494766950607
16-April-23 13:22:21 - INFO:  get_range:0.0030686119571328163
16-April-23 13:22:21 - INFO:  get_range:0.0037743058055639267
16-April-23 13:22:21 - INFO:  get_range:0.0033312635496258736
16-April-23 13:22:21 - INFO:  get_range:0.003883705474436283
16-April-23 13:22:22 - INFO:  get_range:0.0033314302563667297
16-April-23 13:22:22 - INFO:  get_range:0.0033002374693751335
16-April-23 13:22:22 - INFO:  get_range:0.0031003840267658234
16-April-23 13:22:23 - INFO:  get_range:0.003156762570142746
16-April-23 13:22:23 - INFO:  get_range:0.003048831596970558
16-April-23 13:22:23 - INFO:  get_range:0.003376537002623081
16-April-23 13:22:23 - INFO:  get_range:0.003747468814253807
16-April-23 13:22:23 - INFO:  get_range:0.003385644406080246
16-April-23 13:22:23 - INFO:  get_range:0.003814609721302986
16-April-23 13:22:23 - INFO:  get_range:0.003796669654548168
16-April-23 13:22:23 - INFO:  get_range:0.0038115866482257843
16-April-23 13:22:24 - INFO:  get_range:0.003017994575202465
16-April-23 13:22:24 - INFO:  get_range:0.0032376348972320557
16-April-23 13:22:24 - INFO:  get_range:0.0034867282956838608
16-April-23 13:22:24 - INFO:  get_range:0.0035434607416391373
16-April-23 13:22:24 - INFO:  get_range:0.003933886997401714
16-April-23 13:22:24 - INFO:  get_range:0.003921719267964363
16-April-23 13:22:24 - INFO:  get_range:0.003888217732310295
16-April-23 13:22:24 - INFO:  get_range:0.0031072599813342094
16-April-23 13:22:24 - INFO:  get_range:0.002812162972986698
16-April-23 13:22:24 - INFO:  get_range:0.002814670093357563
16-April-23 13:22:25 - INFO:  get_range:0.00320271123200655
16-April-23 13:22:25 - INFO:  get_range:0.003089599311351776
16-April-23 13:22:25 - INFO:  get_range:0.003104269504547119
16-April-23 13:22:25 - INFO:  get_range:0.003648729994893074
16-April-23 13:22:25 - INFO:  get_range:0.003828789107501507
16-April-23 13:22:25 - INFO:  get_range:0.003557504154741764
16-April-23 13:22:25 - INFO:  get_range:0.003876815550029278
16-April-23 13:22:25 - INFO:  get_range:0.003677835687994957
